,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,sodium,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,glycine,carbohydrate,fiber,sugars,glucose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,water
12,"Mango nectar, canned",100 g,51,0.1g,,0,0.11 g,5.00 mg,692.00 IU,35.00 mcg,0.00 mcg,0.015 mg,15.2 mg,0.00 IU,0.21 mg,0.8 mcg,17.00 mg,0.015 mg,0.36 mg,3.00 mg,0.028 mg,2.00 mg,24.00 mg,0.4 mcg,0.02 mg,0,13.12 g,0.3 g,12.45 g,5.31 g,1.02 g,0.06 g,0.014 g,0.022 g,0.011 g,0.00 mg,0.0 g,0.08 g,0.00 mg,86.63 g
13,"Crackers, rusk toast",100 g,407,7.2g,1.4g,78mg,13.50 g,253.00 mg,41.00 IU,12.00 mcg,0.18 mcg,0.047 mg,0.0 mg,0,0,0,27.00 mg,0.245 mg,2.72 mg,36.00 mg,0.439 mg,153.00 mg,245.00 mg,20.1 mcg,1.10 mg,0.498 g,72.30 g,0,0,0,0,7.20 g,1.376 g,2.755 g,2.310 g,78.00 mg,0,1.20 g,0,5.50 g
14,"Chicken, boiled, feet",100 g,215,15g,3.9g,84mg,19.40 g,67.00 mg,100.00 IU,30.00 mcg,0.47 mcg,0.010 mg,0.0 mg,8.00 IU,0.27 mg,0.2 mcg,88.00 mg,0.102 mg,0.91 mg,5.00 mg,0,83.00 mg,31.00 mg,3.6 mcg,0.69 mg,0,0.20 g,0.0 g,0.00 g,0,0,14.60 g,3.920 g,5.500 g,2.980 g,84.00 mg,0.0 g,0.00 g,0.00 mg,65.80 g
15,"Quail, raw, meat only",100 g,134,4.5g,1.3g,70mg,21.76 g,51.00 mg,57.00 IU,17.00 mcg,0.47 mcg,0.530 mg,7.2 mg,0,0,0,13.00 mg,0.594 mg,4.51 mg,25.00 mg,0.019 mg,307.00 mg,237.00 mg,17.4 mcg,2.70 mg,1.442 g,0.00 g,0.0 g,0,0,0,4.53 g,1.320 g,1.280 g,1.170 g,70.00 mg,0,1.32 g,0,70.03 g
16,"Pie, lemon, fried pies",100 g,316,16g,2.5g,0,3.00 g,374.00 mg,32.00 IU,2.00 mcg,0.08 mcg,0.030 mg,0.0 mg,0,0,0,22.00 mg,0.047 mg,1.22 mg,10.00 mg,0.224 mg,43.00 mg,65.00 mg,2.4 mcg,0.23 mg,0.098 g,42.60 g,2.6 g,0,0,0,16.10 g,2.457 g,7.449 g,5.376 g,0.00 mg,0,1.10 g,0,37.60 g
17,"Peppers, raw, jalapeno",100 g,29,0.4g,0.1g,0,0.91 g,3.00 mg,1078.00 IU,54.00 mcg,0.00 mcg,0.419 mg,118.6 mg,0.00 IU,3.58 mg,18.5 mcg,12.00 mg,0.046 mg,0.25 mg,15.00 mg,0.097 mg,26.00 mg,248.00 mg,0.4 mcg,0.14 mg,0,6.50 g,2.8 g,4.12 g,1.48 g,0.00 g,0.37 g,0.092 g,0.029 g,0.112 g,0.00 mg,0.0 g,0.53 g,0.00 mg,91.69 g
18,"Winged bean tuber, raw",100 g,148,0.9g,0.2g,0,11.60 g,35.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.075 mg,0.0 mg,0.00 IU,0,0,30.00 mg,1.386 mg,2.00 mg,24.00 mg,0.532 mg,45.00 mg,586.00 mg,0.7 mcg,1.39 mg,0.390 g,28.10 g,0,0,0,0,0.90 g,0.222 g,0.234 g,0.174 g,0.00 mg,0,2.00 g,0,57.40 g
19,"Salami, turkey, cooked",100 g,172,9.2g,2.8g,76mg,19.20 g,1107.00 mg,6.00 IU,2.00 mcg,0.99 mcg,0.427 mg,0.0 mg,24.00 IU,0.24 mg,1.3 mcg,40.00 mg,0.190 mg,1.25 mg,22.00 mg,0.020 mg,266.00 mg,216.00 mg,26.4 mcg,2.32 mg,0.759 g,1.55 g,0.1 g,1.12 g,0,0,9.21 g,2.783 g,3.172 g,2.466 g,76.00 mg,0.0 g,1.68 g,0.00 mg,68.80 g
20,"Grapes, raw, muscadine",100 g,57,0.5g,,0,0.81 g,1.00 mg,67.00 IU,3.00 mcg,0,0,6.5 mg,0,0,0,37.00 mg,0.119 mg,0.26 mg,14.00 mg,1.973 mg,24.00 mg,203.00 mg,0,0.11 mg,0,13.93 g,3.9 g,0,3.67 g,0.57 g,0.47 g,0,0,0,0,0,0.50 g,0,84.29 g
21,"Nuts, raw, ginkgo nuts",100 g,182,1.7g,0.3g,0,4.32 g,7.00 mg,558.00 IU,28.00 mcg,0.00 mcg,0.328 mg,15.0 mg,0.00 IU,0,0,2.00 mg,0.274 mg,1.00 mg,27.00 mg,0.113 mg,124.00 mg,510.00 mg,0,0.34 mg,0.232 g,37.60 g,0,0,0,0,1.68 g,0.319 g,0.619 g,0.618 g,0.00 mg,0,1.20 g,0,55.20 g
22,"Spices, ground, savory",100 g,272,5.9g,3.3g,0,6.73 g,24.00 mg,5130.00 IU,257.00 mcg,0.00 mcg,1.810 mg,50.0 mg,0.00 IU,0,0,2132.00 mg,0.847 mg,37.88 mg,377.00 mg,6.100 mg,140.00 mg,1051.00 mg,4.6 mcg,4.30 mg,0,68.73 g,45.7 g,0,0,0,5.91 g,3.260 g,0,0,0.00 mg,0,9.63 g,0,9.00 g
23,"Candies, sesame crunch",100 g,516,33g,4.7g,0,11.60 g,167.00 mg,6.00 IU,0.00 mcg,0.00 mcg,0.491 mg,0.0 mg,0.00 IU,0.16 mg,0.0 mcg,639.00 mg,0.950 mg,4.27 mg,251.00 mg,1.609 mg,412.00 mg,307.00 mg,4.0 mcg,3.76 mg,0,50.30 g,7.7 g,31.17 g,0,0,33.30 g,4.662 g,12.571 g,14.591 g,0.00 mg,0.0 g,2.60 g,0.00 mg,2.20 g
24,"Cheese, low fat, cream",100 g,201,15g,9.1g,54mg,7.85 g,359.00 mg,552.00 IU,161.00 mcg,0.92 mcg,0.045 mg,0.0 mg,11.00 IU,0.27 mg,1.1 mcg,148.00 mg,0.032 mg,0.17 mg,8.00 mg,0.011 mg,152.00 mg,247.00 mg,4.0 mcg,0.57 mg,0.187 g,8.13 g,0.0 g,5.82 g,0.00 g,0.00 g,15.28 g,9.098 g,3.996 g,0.658 g,54.00 mg,0.0 g,2.03 g,0.00 mg,66.72 g
25,"PACE, Green Taco Sauce",100 g,25,0g,,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,0,6.25 g,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,3.05 g,0,90.70 g
26,"Syrup, Canadian, maple",100 g,270,0g,,0,0.00 g,9.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0,0.0 mg,0,0,0,109.00 mg,0,0.11 mg,21.00 mg,2.300 mg,0,225.00 mg,0,0.70 mg,0,67.38 g,0.0 g,59.92 g,0.65 g,58.93 g,0.00 g,0,0,0,0.00 mg,0,0.47 g,0.00 mg,32.15 g
27,"Ostrich, raw, top loin",100 g,119,3g,1.2g,75mg,21.67 g,81.00 mg,0.00 IU,0.00 mcg,4.94 mcg,0.509 mg,0.0 mg,0,0.20 mg,0,6.00 mg,0.137 mg,3.13 mg,22.00 mg,0.018 mg,214.00 mg,312.00 mg,35.4 mcg,3.76 mg,1.448 g,0.00 g,0.0 g,0.00 g,0,0,2.95 g,1.200 g,1.060 g,0.580 g,75.00 mg,0.0 g,0.73 g,0.00 mg,75.35 g
28,"Chewing gum, sugarless",100 g,268,0.4g,0.1g,0,0.00 g,7.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,20.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.5 mcg,0.00 mg,0,94.80 g,2.4 g,0.00 g,0,0,0.40 g,0.058 g,0.093 g,0.232 g,0.00 mg,0.0 g,1.30 g,0.00 mg,3.50 g
29,"Nuts, dried, pine nuts",100 g,673,68g,4.9g,0,13.69 g,2.00 mg,29.00 IU,1.00 mcg,0.00 mcg,0.094 mg,0.8 mg,0.00 IU,9.33 mg,53.9 mcg,16.00 mg,1.324 mg,5.53 mg,251.00 mg,8.802 mg,575.00 mg,597.00 mg,0.7 mcg,6.45 mg,0.691 g,13.08 g,3.7 g,3.59 g,0.07 g,3.45 g,68.37 g,4.899 g,18.764 g,34.071 g,0.00 mg,0.0 g,2.59 g,0.00 mg,2.28 g
30,"Pasta, unenriched, dry",100 g,371,1.5g,0.3g,0,13.04 g,6.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.142 mg,0.0 mg,0.00 IU,0.11 mg,0.1 mcg,21.00 mg,0.289 mg,1.30 mg,53.00 mg,0.917 mg,189.00 mg,223.00 mg,63.2 mcg,1.41 mg,0.441 g,74.67 g,3.2 g,2.67 g,0.12 g,0.48 g,1.51 g,0.277 g,0.171 g,0.564 g,0.00 mg,0.0 g,0.88 g,0,9.90 g
31,"McDONALD'S, Side Salad",100 g,20,0.2g,,0,1.03 g,12.00 mg,2850.00 IU,0,0.00 mcg,0,15.7 mg,0,0,0,24.00 mg,0,0.65 mg,0,0,0,220.00 mg,0,0,0,4.30 g,1.6 g,2.24 g,0.92 g,0.17 g,0.19 g,0.020 g,0.006 g,0.079 g,0.00 mg,0,0.54 g,0,93.93 g
32,"Cookies, Marie biscuit",100 g,406,11g,5.3g,0,7.05 g,370.00 mg,3.00 IU,1.00 mcg,0.19 mcg,0.074 mg,0.0 mg,0.00 IU,0.45 mg,3.8 mcg,0.00 mg,0.101 mg,0.00 mg,28.00 mg,0,193.00 mg,307.00 mg,23.9 mcg,0.61 mg,0,70.54 g,3.5 g,21.16 g,0,0,10.58 g,5.291 g,2.694 g,1.670 g,0.00 mg,0.0 g,2.03 g,0.00 mg,9.79 g
33,"Broccoli, raw, chinese",100 g,30,0.8g,0.1g,0,1.20 g,7.00 mg,1720.00 IU,86.00 mcg,0.00 mcg,0.074 mg,29.6 mg,0.00 IU,0.50 mg,89.1 mcg,105.00 mg,0.064 mg,0.59 mg,19.00 mg,0,43.00 mg,274.00 mg,1.4 mcg,0.41 mg,0,4.67 g,2.6 g,0.88 g,0,0,0.76 g,0.116 g,0.053 g,0.347 g,0.00 mg,0.0 g,0.83 g,0.00 mg,92.55 g
34,"McDONALD'S, Hash Brown",100 g,271,16g,2.3g,0,2.48 g,580.00 mg,2.00 IU,0.00 mcg,0,0.180 mg,5.6 mg,0,2.14 mg,0,19.00 mg,0.093 mg,0.56 mg,20.00 mg,0.153 mg,99.00 mg,341.00 mg,0.4 mcg,0.34 mg,0,28.56 g,2.8 g,0.54 g,0.30 g,0.00 g,16.30 g,2.327 g,8.055 g,5.065 g,0.00 mg,0,2.25 g,0,50.42 g
35,"Agave, raw (Southwest)",100 g,68,0.2g,,0,0.52 g,14.00 mg,37.00 IU,2.00 mcg,0.00 mcg,0.055 mg,4.0 mg,0.00 IU,0.23 mg,5.3 mcg,417.00 mg,0.138 mg,1.80 mg,55.00 mg,0.094 mg,7.00 mg,127.00 mg,0.4 mcg,0.15 mg,0.019 g,16.23 g,6.6 g,2.58 g,1.19 g,0.41 g,0.15 g,0,0,0,0.00 mg,0.0 g,1.27 g,0.00 mg,81.83 g
36,"Emu, raw, outside drum",100 g,103,0.5g,0.1g,78mg,23.08 g,100.00 mg,0.00 IU,0.00 mcg,6.92 mcg,0.676 mg,0.0 mg,0,0.17 mg,0,3.00 mg,0.199 mg,4.50 mg,29.00 mg,0.025 mg,225.00 mg,320.00 mg,36.3 mcg,4.50 mg,0.727 g,0.00 g,0.0 g,0.00 g,0,0,0.48 g,0.122 g,0.202 g,0.070 g,78.00 mg,0.0 g,1.00 g,0.00 mg,74.87 g
37,"Nuts, dried, beechnuts",100 g,576,50g,5.7g,0,6.20 g,38.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.684 mg,15.5 mg,0,0,0,1.00 mg,0.670 mg,2.46 mg,0.00 mg,1.341 mg,0.00 mg,1017.00 mg,0,0.36 mg,0.319 g,33.50 g,0,0,0,0,50.00 g,5.719 g,21.892 g,20.089 g,0.00 mg,0,3.70 g,0,6.60 g
38,"Currants, dried, zante",100 g,283,0.3g,,0,4.08 g,8.00 mg,73.00 IU,4.00 mcg,0.00 mcg,0.296 mg,4.7 mg,0.00 IU,0.11 mg,3.3 mcg,86.00 mg,0.468 mg,3.26 mg,41.00 mg,0.469 mg,125.00 mg,892.00 mg,0.7 mcg,0.66 mg,0,74.08 g,6.8 g,67.28 g,0,0,0.27 g,0.028 g,0.047 g,0.180 g,0.00 mg,0.0 g,2.36 g,0.00 mg,19.21 g
39,"Lentils, raw, sprouted",100 g,106,0.6g,0.1g,0,8.96 g,11.00 mg,45.00 IU,2.00 mcg,0.00 mcg,0.190 mg,16.5 mg,0.00 IU,0,0,25.00 mg,0.352 mg,3.21 mg,37.00 mg,0.506 mg,173.00 mg,322.00 mg,0.6 mcg,1.51 mg,0.319 g,22.14 g,0,0,0,0,0.55 g,0.057 g,0.104 g,0.219 g,0.00 mg,0,1.00 g,0,67.34 g
40,"Gravy, mix, dry, onion",100 g,322,3g,1.9g,2mg,9.00 g,4186.00 mg,0.00 IU,0.00 mcg,0.70 mcg,0.100 mg,7.0 mg,0,0,0,280.00 mg,0.170 mg,1.00 mg,34.00 mg,0.400 mg,203.00 mg,262.00 mg,6.1 mcg,0.88 mg,0,67.64 g,6.0 g,0,0,0,3.00 g,1.860 g,0.900 g,0.140 g,2.00 mg,0,16.00 g,0,4.36 g
41,"Pie, fruit, fried pies",100 g,316,16g,2.5g,0,3.00 g,333.00 mg,27.00 IU,5.00 mcg,0.08 mcg,0.030 mg,1.3 mg,0.00 IU,1.72 mg,4.1 mcg,22.00 mg,0.047 mg,1.22 mg,10.00 mg,0.224 mg,43.00 mg,65.00 mg,2.4 mcg,0.23 mg,0.098 g,42.60 g,2.6 g,21.40 g,0,0,16.10 g,2.457 g,7.449 g,5.376 g,0.00 mg,0.0 g,1.10 g,0.00 mg,37.60 g
42,"Snacks, cakes, popcorn",100 g,384,3.1g,0.5g,0,9.70 g,288.00 mg,72.00 IU,4.00 mcg,0.00 mcg,0.181 mg,0.0 mg,0.00 IU,0.29 mg,1.1 mcg,9.00 mg,0.569 mg,1.87 mg,159.00 mg,0.985 mg,277.00 mg,327.00 mg,9.9 mcg,3.99 mg,0.431 g,80.10 g,2.9 g,0.72 g,0,0,3.10 g,0.480 g,0.920 g,1.350 g,0.00 mg,0.0 g,2.00 g,0.00 mg,5.00 g
43,"Snack, Mixed Berry Bar",100 g,383,11g,3.8g,0,13.16 g,447.00 mg,97.00 IU,27.00 mcg,0.51 mcg,0.116 mg,0.6 mg,2.00 IU,0.29 mg,1.6 mcg,105.00 mg,0.244 mg,1.89 mg,91.00 mg,1.963 mg,343.00 mg,446.00 mg,19.8 mcg,2.64 mg,0,58.84 g,7.9 g,26.32 g,0,0,10.53 g,3.846 g,2.897 g,2.058 g,0.00 mg,0.0 g,1.97 g,0.00 mg,15.52 g
44,"Fish, raw, sheepshead",100 g,108,2.4g,0.6g,50mg,20.21 g,71.00 mg,100.00 IU,30.00 mcg,2.00 mcg,0.300 mg,0.0 mg,0,0,0,21.00 mg,0.031 mg,0.46 mg,32.00 mg,0.013 mg,313.00 mg,404.00 mg,36.5 mcg,0.39 mg,0.970 g,0.00 g,0.0 g,0,0,0,2.41 g,0.609 g,0.728 g,0.518 g,50.00 mg,0,1.09 g,0,77.97 g
45,"Babyfood, pear, juice",100 g,47,0g,,0,0.00 g,8.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.010 mg,33.8 mg,0.00 IU,0.09 mg,3.4 mcg,12.00 mg,0.065 mg,0.00 mg,8.00 mg,0,12.00 mg,130.00 mg,0.4 mcg,0.08 mg,0,11.86 g,0.1 g,7.28 g,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.24 g,0.00 mg,87.90 g
46,"Brussels sprouts, raw",100 g,43,0.3g,0.1g,0,3.38 g,25.00 mg,754.00 IU,38.00 mcg,0.00 mcg,0.219 mg,85.0 mg,0.00 IU,0.88 mg,177.0 mcg,42.00 mg,0.070 mg,1.40 mg,23.00 mg,0.337 mg,69.00 mg,389.00 mg,1.6 mcg,0.42 mg,0,8.95 g,3.8 g,2.20 g,0.81 g,0.46 g,0.30 g,0.062 g,0.023 g,0.153 g,0.00 mg,0.0 g,1.37 g,0.00 mg,86.00 g
47,"Broccoli raab, cooked",100 g,33,0.5g,0.1g,0,3.83 g,56.00 mg,4533.00 IU,227.00 mcg,0.00 mcg,0.220 mg,37.0 mg,0.00 IU,2.53 mg,256.0 mcg,118.00 mg,0.075 mg,1.27 mg,27.00 mg,0.380 mg,82.00 mg,343.00 mg,1.3 mcg,0.54 mg,0.148 g,3.12 g,2.8 g,0.62 g,0.23 g,0.15 g,0.52 g,0.057 g,0.030 g,0.150 g,0.00 mg,0.0 g,1.11 g,0.00 mg,91.41 g
48,"Butter oil, anhydrous",100 g,876,99g,62g,256mg,0.28 g,2.00 mg,3069.00 IU,840.00 mcg,0.01 mcg,0.001 mg,0.0 mg,0.00 IU,2.80 mg,8.6 mcg,4.00 mg,0.001 mg,0.00 mg,0.00 mg,0.000 mg,3.00 mg,5.00 mg,0.0 mcg,0.01 mg,0.006 g,0.00 g,0.0 g,0.00 g,0,0,99.48 g,61.924 g,28.732 g,3.694 g,256.00 mg,0.0 g,0.00 g,0.00 mg,0.24 g
49,"Chicory, raw, witloof",100 g,17,0.1g,,0,0.90 g,2.00 mg,29.00 IU,1.00 mcg,0.00 mcg,0.042 mg,2.8 mg,0.00 IU,0,0,19.00 mg,0.051 mg,0.24 mg,10.00 mg,0.100 mg,26.00 mg,211.00 mg,0.2 mcg,0.16 mg,0,4.00 g,3.1 g,0,0,0,0.10 g,0.024 g,0.002 g,0.044 g,0.00 mg,0,0.47 g,0,94.52 g
50,"KEEBLER, Waffle Cones",100 g,424,5.3g,0.9g,0,6.50 g,149.00 mg,0,0,0.00 mcg,0.030 mg,0,0,0.05 mg,0,0,0,3.00 mg,15.00 mg,0,80.00 mg,100.00 mg,0,0.70 mg,0,87.70 g,1.8 g,31.60 g,0,0,5.30 g,0.860 g,1.860 g,1.350 g,0,0,0,0,2.00 g
51,"KEEBLER, Waffle Bowls",100 g,424,5.3g,0.9g,0,6.50 g,149.00 mg,0,0,0.00 mcg,0.030 mg,0,0,0.05 mg,0,0,0,3.00 mg,15.00 mg,0,80.00 mg,100.00 mg,0,0.70 mg,0,87.70 g,1.8 g,31.60 g,0,0,5.30 g,0.860 g,1.860 g,1.350 g,0,0,0,0,2.00 g
52,"Broccoli, raw, leaves",100 g,28,0.4g,0.1g,0,2.98 g,27.00 mg,16000.00 IU,0,0.00 mcg,0.159 mg,93.2 mg,0.00 IU,0,0,48.00 mg,0.045 mg,0.88 mg,25.00 mg,0.229 mg,66.00 mg,325.00 mg,3.0 mcg,0.40 mg,0.095 g,5.06 g,2.3 g,1.48 g,0,0,0.35 g,0.054 g,0.024 g,0.167 g,0.00 mg,0.0 g,0.92 g,0.00 mg,90.69 g
53,"Durian, raw or frozen",100 g,147,5.3g,,0,1.47 g,2.00 mg,44.00 IU,2.00 mcg,0.00 mcg,0.316 mg,19.7 mg,0,0,0,6.00 mg,0.207 mg,0.43 mg,30.00 mg,0.325 mg,39.00 mg,436.00 mg,0,0.28 mg,0,27.09 g,3.8 g,0,0,0,5.33 g,0,0,0,0.00 mg,0,1.12 g,0,64.99 g
54,"Tomatoes, raw, orange",100 g,16,0.2g,,0,1.16 g,42.00 mg,1496.00 IU,75.00 mcg,0.00 mcg,0.060 mg,16.0 mg,0.00 IU,0,0,5.00 mg,0.062 mg,0.47 mg,8.00 mg,0.088 mg,29.00 mg,212.00 mg,0.4 mcg,0.14 mg,0.029 g,3.18 g,0.9 g,0,0,0,0.19 g,0.025 g,0.028 g,0.076 g,0.00 mg,0,0.69 g,0,94.78 g
55,"Tomatoes, raw, yellow",100 g,15,0.3g,,0,0.98 g,23.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.056 mg,9.0 mg,0.00 IU,0,0,11.00 mg,0.101 mg,0.49 mg,12.00 mg,0.120 mg,36.00 mg,258.00 mg,0.4 mcg,0.28 mg,0.024 g,2.98 g,0.7 g,0,0,0,0.26 g,0.036 g,0.040 g,0.108 g,0.00 mg,0,0.50 g,0,95.28 g
56,"Egg custards, dry mix",100 g,410,6.4g,2g,258mg,6.90 g,281.00 mg,217.00 IU,63.00 mcg,1.17 mcg,0.216 mg,0.4 mg,0,0,0,228.00 mg,0.046 mg,1.93 mg,45.00 mg,0.020 mg,332.00 mg,540.00 mg,16.6 mcg,1.05 mg,0.185 g,82.80 g,0.0 g,0,0,0,6.40 g,2.030 g,2.400 g,0.850 g,258.00 mg,0.0 g,2.20 g,0,1.70 g
57,"Peanut flour, low fat",100 g,428,22g,3g,0,33.80 g,1.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.304 mg,0.0 mg,0.00 IU,0,0,130.00 mg,2.039 mg,4.74 mg,48.00 mg,4.231 mg,508.00 mg,1358.00 mg,7.1 mcg,5.99 mg,2.037 g,31.27 g,15.8 g,0,0,0,21.90 g,3.040 g,10.866 g,6.921 g,0.00 mg,0,5.23 g,0.00 mg,7.80 g
